fixture_id,date,stage,city,country,home_team,away_team,result_available,home_host_nation,home_current_elo,home_form_10,home_goals_scored_form10,home_goals_conceded_form10,home_last_5_pts,home_intl_matches_available,home_wc_appearances,home_wc_wins,home_wc_finals,home_wc_semis,home_last_wc_year,home_squad_avg_age_2026,home_avg_club_prestige,home_max_club_prestige,home_players_with_recent_data,home_squad_xg_p90,home_squad_goals_p90,home_squad_key_passes_p90,home_squad_interceptions_p90,home_squad_pass_accuracy,home_squad_prog_carries_p90,away_host_nation,away_current_elo,away_form_10,away_goals_scored_form10,away_goals_conceded_form10,away_last_5_pts,away_intl_matches_available,away_wc_appearances,away_wc_wins,away_wc_finals,away_wc_semis,away_last_wc_year,away_squad_avg_age_2026,away_avg_club_prestige,away_max_club_prestige,away_players_with_recent_data,away_squad_xg_p90,away_squad_goals_p90,away_squad_key_passes_p90,away_squad_interceptions_p90,away_squad_pass_accuracy,away_squad_prog_carries_p90,elo_diff,home_elo_win_prob,form_diff,home_score,away_score
24,2026-06-17,Group Stage,Toronto,Canada,Ghana,Panama,0,0,1596.46,0.3382,1.4,1.3,0,10,4,0,0,0,2022,29.4,5.2,9.0,19,0.1103,0.1009,0.4707,0.8741,0.7588,4.0007,0,1775.96,0.5555,1.5,1.4,5,10,1,0,0,0,2018,,5.0,5.0,21,0.0547,0.1018,0.5429,0.509,0.8065,5.836,-179.5,0.2624,-0.2173,,
25,2026-06-18,Group Stage,Atlanta,United States,Czech Republic,South Africa,0,0,1741.23,0.6411,1.8,1.3,11,10,1,0,0,0,2006,,5.0,5.0,23,0.0976,0.0638,0.5952,0.5527,0.7471,4.6552,0,1545.44,0.4905,1.4,1.0,5,10,3,0,0,0,2010,,5.0,5.0,21,0.1675,0.148,0.4614,0.5832,0.8137,4.335,195.78999999999996,0.6501,0.1506,,
26,2026-06-18,Group Stage,Zapopan,Mexico,Mexico,South Korea,0,1,1975.69,0.7456,1.2,0.4,11,10,17,0,0,0,2022,32.2,5.0,5.0,20,0.0974,0.0218,0.7864,0.5024,0.7979,6.335,0,1845.27,0.6191,1.8,1.2,9,10,11,0,0,0,2022,32.0,5.0,5.0,0,,,,,,,130.42000000000007,0.5605,0.1265,,
27,2026-06-18,Group Stage,Inglewood,United States,Switzerland,Bosnia and Herzegovina,0,0,1872.59,0.7053,2.5,0.7,8,10,12,0,0,0,2022,31.2,5.521,9.5,20,0.1047,0.1358,0.4938,0.4814,0.8439,5.4684,0,1645.35,0.5623,2.0,1.1,7,10,1,0,0,0,2014,,5.0,5.0,0,,,,,,,227.24,0.7872,0.143,,
28,2026-06-18,Group Stage,Vancouver,Canada,Canada,Qatar,0,1,1835.73,0.6617,1.1,0.4,9,10,2,0,0,0,2022,31.6,5.237,9.5,22,0.1662,0.1175,0.4591,0.5552,0.7859,4.7087,0,1631.47,0.2564,0.9,1.7,1,10,1,0,0,0,2022,32.3,5.0,5.0,0,,,,,,,204.26,0.7642,0.4053,,
29,2026-06-19,Group Stage,Santa Clara,United States,Turkey,Paraguay,0,0,1920.12,0.8111,2.3,1.3,13,10,2,0,0,1,2002,,5.0,5.0,25,0.0817,0.101,0.6441,0.5683,0.8361,5.3803,0,1865.19,0.4857,1.0,1.0,6,10,8,0,0,0,2010,,5.0,5.0,20,0.0647,0.0656,0.5907,0.8532,0.7902,5.491,54.929999999999836,0.5784,0.3254,,
30,2026-06-19,Group Stage,Foxborough,United States,Scotland,Morocco,0,0,1789.06,0.6037,2.1,1.0,6,10,8,0,0,0,1998,,5.0,5.0,18,0.0222,0.0219,0.2843,0.3937,0.78,3.2588,0,1945.47,0.8544,2.0,0.3,11,10,6,0,0,1,2022,30.3,5.34,9.5,22,0.1281,0.0814,0.7813,0.3418,0.853,5.1601,-156.41000000000008,0.289,-0.2507,,
31,2026-06-19,Group Stage,Philadelphia,United States,Brazil,Haiti,0,0,1930.75,0.6556,2.4,1.0,10,10,22,5,7,11,2022,32.0,7.596,10.0,20,0.1521,0.1122,0.4329,0.6414,0.8448,6.4939,0,1645.45,0.511,1.2,1.1,7,10,1,0,0,0,1974,,5.0,5.0,0,,,,,,,285.29999999999995,0.8379,0.1446,,
32,2026-06-19,Group Stage,Seattle,United States,USA,Australia,0,1,1835.43,0.5711,1.8,1.7,9,10,11,0,0,1,2022,28.8,5.575,9.0,21,0.0878,0.0695,0.6485,0.4169,0.7475,4.1225,0,1854.21,0.5431,1.4,1.0,6,10,6,0,0,0,2022,31.3,5.0,5.0,0,,,,,,,-18.779999999999973,0.473,0.028,,
33,2026-06-20,Group Stage,Houston,United States,Netherlands,Sweden,0,0,1938.39,0.8306,3.0,0.6,11,10,11,0,3,5,2022,30.4,6.071,9.5,19,0.0841,0.1034,0.7582,0.6089,0.8604,5.3421,0,1729.32,0.411,1.5,2.1,7,10,12,0,1,4,2018,,5.0,5.0,0,,,,,,,209.07000000000016,0.7691,0.4196,,
